,page,country,rev_id,Unnamed: 0,score
0,Bir I of Kanem,Chad,355319463,,
14,List of politicians in Poland,Poland,516633096,13.0,
21,Tingtingru,Vanuatu,550682925,20.0,
51,Daud Arsala,Afghanistan,627547024,50.0,
75,Book:Two Political Biographies,India,636911471,74.0,
180,Dilaver Bey,Turkey,669987106,179.0,
204,Bharat Saud,Nepal,671484594,203.0,
287,Book:Australian Prime Ministers,Australia,680981536,286.0,
301,Robert Sych,Poland,684023803,300.0,
302,Marek Krzysztof Jeleniewski,Poland,684023859,301.0,
434,Khanzahi,Iran,696608092,433.0,
483,Narayani Datt Chataut,Nepal,698572327,482.0,
547,Mohammad Amjad,Pakistan,699260156,546.0,
736,Gomez das Mariñas,Spain,703773782,735.0,
1054,Valerio De Los Benidos,Cuba,706204833,1053.0,
1183,Kamlesh Arya,Fiji,706810694,1182.0,
1491,Book:Indian Politicians,India,708482569,1490.0,
1532,Pierre-Luc Paquette,Canada,708813010,1531.0,
1626,Khaled Aghbariyya,Israel,709508670,1625.0,
1740,José Santos Marques,Portugal,710135228,1739.0,
1770,Vladimir Shamakhov,Russia,710311600,1769.0,
1867,Hazrat-U-Din,Afghanistan,710715953,1866.0,
1960,Floydelia Diasen,Philippines,711224007,1959.0,
1968,Panu Laturi,Finland,711288191,1967.0,
2002,Michel Ximenes,France,711513274,2001.0,
2125,I Gede Sumantara Ady Pratama,Indonesia,712411818,2124.0,
2228,Łukasz Kowalski,Poland,712872338,2227.0,
2229,Blanka Olszewska,Poland,712872421,2228.0,
2230,Janusz Jerzy Drozdalski,Poland,712872473,2229.0,
2231,Piotr Michał Trzaska,Poland,712872531,2230.0,
2232,Anna Teresa Piórkowska,Poland,712873183,2231.0,
2233,Edward Ignacy Hartwich,Poland,712873308,2232.0,
2234,Lech Andrzej Zagłoba-Zygler,Poland,712873386,2233.0,
2240,Elżbieta Teresa Rusielewicz,Poland,712878000,2239.0,
2241,Adam Wojciech Fórmaniak,Poland,712878267,2240.0,
2242,Zbigniew Józef Sobociński,Poland,712878343,2241.0,
2243,Bernadeta Aldona Różańska-Majchrzak,Poland,712878396,2242.0,
2245,Jarosław Wenderlich,Poland,712881543,2244.0,
2246,Ewa Joanna Starosta,Poland,712881676,2245.0,
2247,Stanisław Grodzicki (politician),Poland,712881741,2246.0,
2248,Tadeusz Mirosław Kondrusiewicz,Poland,712881882,2247.0,
2251,Wojciech Hieronim Nowacki,Poland,712889562,2250.0,
2252,Jacek Rosół,Poland,712889594,2251.0,
