,rev_id,score
0,393276188,Stub
1,393822005,Stub
2,395521877,Stub
3,395526568,Stub
4,401577829,Stub
5,442937236,Stub
6,448555418,Stub
7,470173494,Start
8,477962574,Stub
9,492060822,Stub
10,492964343,Stub
11,498683267,Stub
12,502721672,C
13,516633096,
14,521986779,Stub
15,532253442,Stub
16,543225630,Stub
17,545936100,Stub
18,546364151,Start
19,549300521,Stub
20,550682925,
21,550953646,Stub
22,559553872,Stub
23,559788982,Stub
24,560758943,Stub
25,561744402,Stub
26,564873005,Stub
27,565745353,Stub
28,565745365,Stub
29,565745375,Stub
30,566504165,Stub
31,573710096,B
32,574571582,Stub
33,576988466,Stub
34,585894477,Stub
35,592289232,Stub
36,595693452,Start
37,596181202,Start
38,598819900,Start
39,601122766,Stub
40,601127343,Start
41,614786300,Start
42,623004627,Stub
43,623334577,Stub
44,624468970,Stub
45,625509885,Start
46,626606789,Stub
47,627001041,Stub
48,627051151,Stub
49,627432937,Stub
50,627547024,
51,628261896,Stub
52,628268705,Stub
53,628270736,Stub
54,628312759,Stub
55,628379479,Stub
56,628563978,Stub
57,628619000,Stub
58,628766656,Stub
59,628988952,Stub
60,629562076,Stub
61,629818376,Stub
62,630396351,Stub
63,630396786,Stub
64,630704768,Stub
65,631437331,Stub
66,631581752,Start
67,632008524,Start
68,632261377,Stub
69,632447328,Stub
70,633612729,Start
71,634032715,B
72,635240253,Stub
73,635814126,Stub
74,636911471,
75,637801253,Stub
76,638214719,Stub
77,638362866,Stub
78,638377138,Stub
79,638566016,Start
80,638571205,Stub
81,638599355,Start
82,639021339,Stub
83,639061161,Start
84,639471171,Stub
85,640014648,Stub
86,640214913,Stub
87,640826254,Stub
88,641422326,Stub
89,643410335,Start
90,643746000,Stub
91,643932216,Start
92,643932220,Start
93,643932225,Start
94,643932226,Start
95,643932239,Start
96,643932242,Start
97,644024203,Stub
98,644041882,Stub
99,644399375,Stub
100,645225697,Start
101,645408814,Stub
102,647367482,Start
103,647450883,Stub
104,647483021,Stub
105,647832959,Stub
106,647893858,Stub
107,648048611,Stub
108,648271473,Stub
109,650458255,Stub
110,650462344,Stub
111,650494773,Stub
112,651250302,Stub
113,651785828,Stub
114,651856758,Stub
115,653467222,Stub
116,653527941,Stub
117,653895210,Stub
118,654012510,Stub
119,655031906,Stub
120,655032578,Stub
121,655390291,Stub
122,655980284,Stub
123,656352211,Stub
124,656386131,Stub
125,656737492,Stub
126,657176628,Start
127,658939122,Stub
128,659315526,Stub
129,660214915,Start
130,660579437,Stub
131,660884852,Start
132,662681733,Start
133,662927043,Start
134,663088604,Stub
135,663166199,Stub
136,663348266,Stub
137,663572469,Stub
138,663617582,Stub
139,663783398,Stub
140,663880497,Stub
141,664532059,Stub
142,664669156,Stub
143,664787336,Stub
144,664793790,Stub
145,664814622,Stub
146,664822251,Stub
147,666029819,Stub
148,666596918,Stub
149,666610075,Start
150,666752677,Stub
151,667194771,Stub
152,667198201,Start
153,667815878,Start
154,667821864,C
155,667873261,Start
156,667906849,Start
157,668091068,Stub
158,668095014,Stub
159,668258382,Stub
160,668449610,Stub
161,668830946,Stub
162,669266906,Stub
163,669301445,Stub
164,669387487,Start
165,669444168,Stub
166,669565720,Stub
167,669571173,Stub
168,669719757,Stub
169,669831602,Stub
170,669833212,Stub
171,669833349,Stub
172,669835390,Stub
173,669841183,Stub
174,669855022,Stub
175,669862709,Stub
176,669869895,Stub
177,669981316,Stub
178,669985109,Stub
179,669987106,
180,670134982,Stub
181,670210734,Start
182,670462475,Stub
183,670893206,Stub
184,670917017,Stub
185,670960027,Stub
186,670971940,Stub
187,671016281,Stub
188,671023940,Stub
189,671029717,Stub
190,671032132,Stub
191,671047987,Stub
192,671073599,Stub
193,671122320,Start
194,671189093,Stub
195,671338098,Stub
196,671338216,Stub
197,671455150,Stub
198,671461616,Stub
199,671462644,Stub
200,671473289,Stub
201,671475479,Stub
202,671483959,Stub
203,671484594,
204,671511760,Stub
205,671515606,Stub
206,671516033,Stub
207,671637265,Stub
208,671868722,Stub
209,671890885,Stub
210,671891037,Stub
211,671895550,Stub
212,671897239,Stub
213,671903264,Stub
214,672119030,Stub
215,672156082,Stub
216,672284154,Stub
217,672515581,Stub
218,672547562,Stub
219,672709444,Stub
220,672862914,Stub
221,673008587,Stub
222,673393730,Stub
223,674487383,Stub
224,674576443,Stub
225,674702694,Stub
226,674919905,Stub
227,675271208,Stub
228,675303236,C
229,675376529,Stub
230,676040670,Stub
231,676043559,Stub
232,676044272,Stub
233,676498385,Stub
234,676610041,Stub
235,676612108,Stub
236,676661990,Stub
237,676691070,Stub
238,676732644,Stub
239,676734572,Stub
240,676782180,Stub
241,676828191,B
242,676841743,Stub
243,676947124,Stub
244,677094551,Stub
245,677317570,Start
246,677435096,Stub
247,677516121,Stub
248,677523953,Stub
249,677568976,Stub
250,677724847,Stub
251,677747943,Stub
252,677750304,Start
253,677769770,Stub
254,677786528,Start
255,677974642,Stub
256,678140107,Stub
257,678440540,Stub
258,678532348,Start
259,678595657,Stub
260,678638092,Stub
261,678721991,Stub
262,679247120,Start
263,679294949,Stub
264,679509452,Stub
265,679547012,Stub
266,679559247,Stub
267,679591301,Stub
268,679623758,Stub
269,679873929,Start
270,680016822,Start
271,680036029,Start
272,680071857,GA
273,680161213,Start
274,680174895,Stub
275,680205631,C
276,680370867,Stub
277,680532939,Stub
278,680614363,Stub
279,680618398,Stub
280,680618797,Stub
281,680629551,Stub
282,680680191,Stub
283,680722683,Stub
284,680886613,Stub
285,680933208,Stub
286,680981536,
287,681177706,Stub
288,681605695,Stub
289,682145001,Start
290,682149007,Stub
291,682166816,Stub
292,682576258,Start
293,682928660,Stub
294,683020488,Stub
295,683282915,Stub
296,683417360,Start
297,683631802,Stub
298,683715284,Stub
299,683946857,Stub
300,684023803,
301,684023859,
302,684050793,Stub
303,684060626,Stub
304,684179656,Stub
305,684295893,Stub
306,684464777,Stub
307,684499128,Stub
308,684525811,Stub
309,684537777,Stub
310,684542057,Start
311,684660655,Stub
312,684804678,Stub
313,684821806,Start
314,684859066,Stub
315,684879320,Start
316,684903534,Stub
317,684903869,Stub
318,685116600,Stub
319,685320824,Start
320,685347694,Stub
321,685720694,Stub
322,686050095,Stub
