,page,country,rev_id,Unnamed: 0,score,FIPS,Name,Type,TimeFrame,Data (M),Population,Region,region_population
392,Julius Gregr,Czech Republic,395521877.0,2.0,Stub,,,,,,,,
393,Edvard Gregr,Czech Republic,395526568.0,3.0,Stub,,,,,,,,
394,Miroslav Poche,Czech Republic,672862914.0,220.0,Stub,,,,,,,,
395,Vojtěch Mynář,Czech Republic,673008587.0,221.0,Stub,,,,,,,,
396,Jan Malypetr,Czech Republic,704424304.0,757.0,Stub,,,,,,,,
397,Emanuel Moravec,Czech Republic,705080136.0,839.0,Start,,,,,,,,
398,Vladimír Hučín,Czech Republic,707597623.0,1331.0,Start,,,,,,,,
399,Pavla Topolánková,Czech Republic,709676840.0,1653.0,Start,,,,,,,,
400,Josef Barák,Czech Republic,711675761.0,2012.0,Stub,,,,,,,,
401,Antonín Švehla,Czech Republic,712426548.0,2130.0,Stub,,,,,,,,
402,Jakob Marzel Sternberger,Czech Republic,713698544.0,2446.0,Stub,,,,,,,,
403,Alois Anderka,Czech Republic,714174726.0,2522.0,Stub,,,,,,,,
404,Ivan Dejmal,Czech Republic,715467197.0,2935.0,Start,,,,,,,,
405,Franz Macoun,Czech Republic,715640391.0,3006.0,Stub,,,,,,,,
406,Karel Urbánek,Czech Republic,716711851.0,3253.0,Stub,,,,,,,,
407,Vladimír Klokočka,Czech Republic,717429365.0,3461.0,Start,,,,,,,,
408,Jaromír Jermář,Czech Republic,720027362.0,4160.0,Stub,,,,,,,,
409,Artur London,Czech Republic,721736524.0,4701.0,Start,,,,,,,,
410,František Sláma (politician),Czech Republic,722937211.0,4985.0,Stub,,,,,,,,
411,Jan Kubice,Czech Republic,723151837.0,5056.0,Stub,,,,,,,,
412,Kamil Jankovský,Czech Republic,723207013.0,5073.0,Stub,,,,,,,,
413,Václav Vacek,Czech Republic,724691268.0,5495.0,Stub,,,,,,,,
414,Čestmír Císař,Czech Republic,725362978.0,5759.0,C,,,,,,,,
415,Luca Rovinalti,Czech Republic,726666131.0,6043.0,Stub,,,,,,,,
416,Kamil Krofta,Czech Republic,726762194.0,6082.0,Start,,,,,,,,
417,Milan Štěch,Czech Republic,728506208.0,6259.0,Stub,,,,,,,,
418,Antonín Janoušek,Czech Republic,729912438.0,6437.0,Stub,,,,,,,,
419,Bedřich Geminder,Czech Republic,730146355.0,6475.0,Stub,,,,,,,,
420,Karel Domin,Czech Republic,735174171.0,7145.0,Start,,,,,,,,
421,Hubert Ripka,Czech Republic,737562321.0,7454.0,Start,,,,,,,,
422,Tomáš Eduard Šilinger,Czech Republic,741588720.0,8236.0,Stub,,,,,,,,
423,Petr Janyška,Czech Republic,741798984.0,8256.0,Stub,,,,,,,,
424,Jana Juřenčáková,Czech Republic,743423675.0,8494.0,Stub,,,,,,,,
